,2,3,7
202,Software Analyst Coop,Thales Canada,Toronto
203,Software Analyst,Thales Canada,Toronto
204,"Software Engineering, Mobile",Thalmic Labs,Kitchener
205,"Software Engineering, Prototyping",Thalmic Labs,Kitchener
206,Computer Vision Developer,Thalmic Labs,Kitchener
207,Software Test Engineering,Thalmic Labs,Kitchener
208,"Software Engineering, Cloud and Back End Services",Thalmic Labs,Kitchener
209,Software Tools Engineering,Thalmic Labs,Kitchener
210,Machine Learning Engineering,Thalmic Labs,Kitchener
211,Product Test Engineering,Thalmic Labs,Kitchener
212,Software Engineering Intern,The Chan Zuckerberg Initiative,Toronto
213,Dev Ops Software Engineer,The Co-operators,Kitchener
214,Developer - Innovation Team,The Co-operators,Kitchener
215,Quality Assurance Specialist Co-op,The Economical Insurance Group,Waterloo
216,Open Source Operating System Software Developer,The FreeBSD Foundation,Kitchener
217,Digital Services Co-op Student (Winter 2018 Term),The Great-West Life Assurance Company,London
218,Junior User Experience Designer,The Home Depot Canada,Toronto
219,Lead Backend Engineering,The League,San Francisco
220,Software Engineering - Platform,The Meet Group,San Francisco
221,iOS Developer,The Meet Group,San Francisco
222,Android Developer,The Meet Group,San Francisco
223,Analytics Engineering,The Meet Group,San Francisco
224,Machine Learning & Full-Stack Developer,themidgame Inc,"Junior, Intermediate, Senior"
225,Junior Software Engineer,TheRedPin Inc,Toronto
226,Android Developer,theScore Inc,Toronto
227,Full-Stack Developer,theScore Inc,Toronto
228,Computer Science/Software Developer Intern,Think Research Corp,Toronto
229,Data Scientist,Thomson Reuters,Toronto
230,Software Developer,Thomson Reuters,Toronto
231,Software / Firmware Designer,Thornhill Medical,Toronto
232,Embedded System Software and Hardware Developer,Tigercat International Inc,Paris
233,Software Engineering,Tinfoil Security,Mountain View
234,Front-End Engineering,Tinfoil Security,Mountain View
235,Software Engineering,Toast Inc,Boston
236,QA Analyst,TradeRev,Toronto
237,Software Developer,Transnomis Solutions Inc.,Toronto
238,Software Developer in Test,Trend Micro Inc,Ottawa
239,Java Software Developer,Trend Micro Inc,Ottawa
240,Information Security Specialist,Trend Micro Inc,Ottawa
241,System Software Developer,Trend Micro Inc,Ottawa
242,Agile Software Engineer,TribalScale Inc,Toronto
243,Quality Assurance (QA) Engineering,Trifacta,San Francisco
244,Product Management,Tulip Retail,Toronto
245,Full Stack Developer,Tulip Retail,"Junior, Intermediate, Senior"
246,DevOps Engineer,Tulip Retail,"Junior, Intermediate, Senior"
247,iOS Developer,Tulip Retail,"Junior, Intermediate, Senior"
248,Full Stack Developer,Tulip Retail,Toronto
249,Android TunnelBear Cub,TunnelBear Inc,Toronto
250,iTunnelBear Cub (iOS Engineer),TunnelBear Inc,Toronto
251,Windows TunnelBear Cub,TunnelBear Inc,Toronto
252,Junior Developer,Tuq,Waterloo
253,Full-Stack Software Developer,TypeSift,Toronto
254,"Software Engineering, Self Driving",Uber,Pittsburgh
255,"Computer Vision & Machine Learning Internship, Self Driving",Uber,Toronto
256,Software Engineering,Uber,"Intermediate, Senior"
257,Gameplay Programmer,Ubisoft Entertainment Inc,Montreal
258,Software Developer,Uken Games,Toronto
259,Junior Product Manager,Uken Games,Toronto
260,Software Engineering,Ultimate Software,Toronto
261,Software Test Engineering,Ultimate Software,Toronto
262,Software Solutions Developer,UniPrint.net,Toronto
263,Software QA Analyst,Unitron,Kitchener
264,Software Developer - Full Stack,Universe,Toronto
265,Software Developer - Web Apps for Biological Pathway Analysis,University of Toronto,Toronto
266,Software Developer - Biological Pathway Data,University of Toronto,Toronto
267,Autonomous Vehicle Localization,University of Waterloo,Waterloo
268,Simulation Development for Autonomous Vehicles,University of Waterloo,Waterloo
269,PHP and SQL Web Application Developer,University of Waterloo,Waterloo
270,"Web Developer, Waterloo Content Management System (WCMS)",University of Waterloo,Waterloo
271,"Developer, UWaterloo Portal",University of Waterloo,Waterloo
272,Biomedical Software Developer,University of Waterloo,Waterloo
273,Software Engineering,US Mobile,White Plains
274,Software Development,UXP Systems Inc.,Toronto
275,Software Engineering,Vatic Labs,New York
276,Software Engineering,Veeva Systems,Toronto
277,Software Engineering (Vault),Veeva Systems,Toronto
278,"Performance Engineer, Intern",Veeva Systems,Toronto
279,Software Internship,Verity Studios AG,Schlieren
280,Software Engineering,Versapay Corporation,Toronto
281,Software Engineering Intern,Vida Health,Mountain View
282,Software Support Specialist and Full Stack Developer,Videostream,Kitchener
283,Junior Full Stack Developer,Videostream,Kitchener
284,"Startup Software Testing, Engineer in Training (EIT)",Videostream,Kitchener
285,Software Developer,Vidyard,Kitchener
286,Associate Product Manager,Vidyard,Kitchener
287,Software Engineering,Vineti,San Francisco
288,iOS and Android Developer,VIQ Solutions Inc,mississauga
289,C#/ASP.NET Developer,VIQ Solutions Inc,Mississauga
290,AI Developer,VIQ Solutions Inc,Mississauga
291,Software Developer,Visier Inc,Vancouver
292,Software Development - 8 months (Vancouver),Vision Critical Inc,Vancouver
293,Software Development - 8 months (Toronto),Vision Critical Inc,Toronto
294,Software Developer,VIZIYA,Hamilton
295,Quality Assurance Analyst,Waterloo Maple Inc,Waterloo
296,Software Developer/Engineering,Wave Accounting Inc,Toronto
297,Wealthsimple Engineering Co-op,Wealthsimple,Toronto
298,Software Engineering,WeddingWire Inc,New York
299,Software Engineering,WhatsApp Inc,Menlo Park
300,Software Developer C/C++/C#,Bell & Howell,Waterloo
301,Software Developer IQ,Bell & Howell,Waterloo
302,Visual Operations Software Developer,Bentley Systems,Burlington
303,Software Development Student,BlackBerry,"Junior, Intermediate, Senior"
304,Software Testing Student,BlackBerry,"Junior, Intermediate, Senior"
305,Security Automation Student - 4 Month Winter Term,BlackBerry,Waterloo
306,Full Stack Developer Student - 4 Month Winter Term,BlackBerry,Waterloo
307,Embedded Software Engineering Student - QNX Automotive Platform - 4 Month Winter Term,BlackBerry,"Junior, Intermediate, Senior"
308,Software Development  Student - 4 Month Winter Term,BlackBerry,Waterloo
309,Core OS Software Development Student - 4 Month Winter Term,BlackBerry,Junior
310,Software Development Student - 4 Month Winter Term,BlackBerry,Junior
311,Open Source and License Compliance Student - 4 Month Winter Term,BlackBerry,Junior
312,Software Engineering,Bloomberg,New York
313,Automation Software Engineering,BlueCat Networks,Toronto
314,Software Engineering,BlueCat Networks,Toronto
315,Security Analyst,BlueCat Networks,Toronto
316,Systems Liaison Engineering,Bombardier Inc,Toronto
317,Quality Project Coordinator,Bombardier Inc,Toronto
318,Software Test Developer,Bond Brand Loyalty Inc,Mississauga
319,Mechatronics Engineering,Brachium Inc,"Intermediate, Senior"
320,Software Engineering,Brachium Inc,"Intermediate, Senior"
321,Software Developer at 50-person Fintech Startup in Manhattan,Bread Finance,New York
322,Software Engineering,Broadway Technology LLC,Waterloo
323,Software Engineering,Broadway Technology LLC,New York
324,Software Developer,Brock Solutions Inc,Kitchener
325,Software Engineering,CA Technologies,Vancouver
326,Integration Specialist / Deployment System Specialist (C-GE-300),CAE,St Laurent
327,Software Developer (C-GE-600),CAE,St Laurent
328,Analyst Programmer (C-GM-001),CAE,St Laurent
329,DevOps Co-op,Camis Inc,Guelph
330,Quality Assurance Co-op,Camis Inc,Guelph
331,Software Developer,CAMplete Solutions Inc,Kitchener
332,Release Management,Canadian Bank Note Company Limited,Ottawa
333,Enterprise Software Developer,Canadian Blood Services,Ottawa
334,Innovation Engineering,Canadian Imperial Bank of Commerce,Toronto
335,Innovation Engineer,Canadian Imperial Bank of Commerce,Toronto
336,AML Solutions Specialist,Canadian Imperial Bank of Commerce,Toronto
337,Software Developer Co-op,Canadian Tire Corporation Limited,Toronto
338,Junior Automation Developer,Canadian Tire Corporation Limited,Toronto
339,Software Engineering Consulting Internship,Capco,Toronto
340,Software Engineering,Capcom,Burnaby
